time,closing
2010-01-04,528.09
2010-01-05,533.09
2010-01-06,539.12
2010-01-07,535.52
2010-01-08,538.96
2010-01-11,540.4
2010-01-12,538.11
2010-01-13,534.46
2010-01-14,542.33
2010-01-15,549.97
2010-01-18,553.1
2010-01-19,549.14
2010-01-20,544.12
2010-01-21,549.03
2010-01-22,546.66
2010-01-25,534.22
2010-01-26,522.07
2010-01-27,516.43
2010-01-28,517.4
2010-01-29,496.57
2010-02-01,502
2010-02-02,504.69
2010-02-03,515.32
2010-02-04,516.23
2010-02-05,497.37
2010-02-08,487.41
2010-02-09,491.2
2010-02-10,491.28
2010-02-11,498.01
2010-02-12,503.88
2010-02-16,508.95
2010-02-17,515.16
2010-02-18,513.33
2010-02-19,504.39
2010-02-22,512.25
2010-02-23,513.9
2010-02-24,514.04
2010-02-25,504.63
2010-02-26,507.03
2010-03-02,507.96
2010-03-03,509.63
2010-03-04,507.59
2010-03-05,511.28
2010-03-08,517.63
2010-03-09,518.12
2010-03-10,518.67
2010-03-11,517.57
2010-03-12,519.44
2010-03-15,517.75
2010-03-16,520.88
2010-03-17,522.98
2010-03-18,524.31
2010-03-19,527.58
2010-03-22,527.07
2010-03-23,526.42
2010-03-24,519.8
2010-03-25,520.24
2010-03-26,524.66
2010-03-29,518.06
2010-03-30,518.05
2010-03-31,515.74
2010-04-01,519.19
2010-04-02,514.95
2010-04-05,505.13
2010-04-06,506.39
2010-04-07,510.9
2010-04-08,513.29
2010-04-09,512.15
2010-04-12,507.67
2010-04-13,506.53
2010-04-14,509.69
2010-04-15,508.61
2010-04-16,508.42
2010-04-19,502.7
2010-04-20,510.5
2010-04-21,515.99
2010-04-22,516.47
2010-04-23,516.51
2010-04-26,517.68
2010-04-27,519.24
2010-04-28,517.85
2010-04-29,519.21
2010-04-30,523.75
2010-05-03,519.78
2010-05-04,518.99
2010-05-06,509.23
2010-05-07,499.71
2010-05-10,512.16
2010-05-11,512.22
2010-05-12,512.13
2010-05-13,522.54
2010-05-14,524.98
2010-05-17,510.25
2010-05-18,504.52
2010-05-19,500.45
2010-05-20,481.06
2010-05-24,476.33
2010-05-25,449.96
2010-05-26,463
2010-05-27,473.32
2010-05-28,479.03
2010-05-31,489.42
2010-06-01,488.79
2010-06-03,495.74
2010-06-04,493.71
2010-06-07,483.12
2010-06-08,490.34
2010-06-09,487
2010-06-10,491.63
2010-06-11,491.25
2010-06-14,492.7
2010-06-15,495.08
2010-06-16,495.96
2010-06-17,495.18
2010-06-18,495.23
2010-06-21,498.36
2010-06-22,496.65
2010-06-23,494.95
2010-06-24,499.14
2010-06-25,498.12
2010-06-28,498.75
2010-06-29,487.54
2010-06-30,489.98
2010-07-01,489.59
2010-07-02,485.69
2010-07-05,486.15
2010-07-06,487.41
2010-07-07,486.41
2010-07-08,488.96
2010-07-09,492.15
2010-07-12,496.7
2010-07-13,497.79
2010-07-14,499.97
2010-07-15,501.73
2010-07-16,498.88
2010-07-19,498.49
2010-07-20,499.72
2010-07-21,496.73
2010-07-22,484.72
2010-07-23,483.69
2010-07-26,488.14
2010-07-27,487.74
2010-07-28,486.75
2010-07-29,482.56
2010-07-30,481.45
2010-08-02,481.98
2010-08-03,481.94
2010-08-04,479.59
2010-08-05,476.47
2010-08-06,478.47
2010-08-09,483.87
2010-08-10,482.16
2010-08-11,475.14
2010-08-12,470.98
2010-08-13,477.17
2010-08-16,476.08
2010-08-17,477.65
2010-08-18,478.33
2010-08-19,480.77
2010-08-20,480.38
2010-08-23,477.14
2010-08-24,474.97
2010-08-25,467.81
2010-08-26,464.53
2010-08-27,461.52
2010-08-30,466.09
2010-08-31,464.71
2010-09-01,469.75
2010-09-02,473
2010-09-03,478.3
2010-09-06,482.82
2010-09-07,480.2
2010-09-08,478.6
2010-09-09,481.86
2010-09-10,484.48
2010-09-13,483.49
2010-09-14,481.79
2010-09-15,481.28
2010-09-16,480.62
2010-09-17,483.25
2010-09-20,483.83
2010-09-24,485.15
2010-09-27,486.29
2010-09-28,487.74
2010-09-29,489.61
2010-09-30,492.75
2010-10-01,495.06
2010-10-04,493.78
2010-10-05,493.55
2010-10-06,497.33
2010-10-07,496.14
2010-10-08,497.08
2010-10-11,496.8
2010-10-12,494.08
2010-10-13,499.12
2010-10-14,504.59
2010-10-15,509.59
2010-10-18,516.19
2010-10-19,514.59
2010-10-20,520.21
2010-10-21,522.66
2010-10-22,523.12
2010-10-25,525.86
2010-10-26,526.64
2010-10-27,528.59
2010-10-28,527.36
2010-10-29,526.45
2010-11-01,527.98
2010-11-02,523.93
2010-11-03,525.89
2010-11-04,531.53
2010-11-05,528.66
2010-11-08,528.47
2010-11-09,526.93
2010-11-10,528.27
2010-11-11,524.05
2010-11-12,509.35
2010-11-15,504.83
2010-11-16,503.04
2010-11-17,505.74
2010-11-18,514.13
2010-11-19,517.04
2010-11-22,515.98
2010-11-23,511.58
2010-11-24,505.32
2010-11-25,508.28
2010-11-26,493.56
2010-11-29,494.33
2010-11-30,498.39
2010-12-01,502.48
2010-12-02,505.94
2010-12-03,502.13
2010-12-06,502.54
2010-12-07,504.49
2010-12-08,502.8
2010-12-09,506.45
2010-12-10,509.2
2010-12-13,513.41
2010-12-14,515
2010-12-15,514.69
