code,name
A021240,코웨이보통주
A034230,파라다이스
A035250,강원랜드보통주
A014590,지앤엘
A084680,이월드보통주
A114090,그랜드코리아레저보통주
A025980,아난티
A011420,갤럭시아에스엠보통주
A204630,화이브라더스코리아
A032800,판타지오
A035830,메카포럼
A057030,와이비엠넷
A067280,멀티캠퍼스
A096240,청담러닝
A133750,메가엠디
A225330,씨엠에스에듀
A031950,에듀패스
A068930,디지털대성
A009010,에듀언스
A034010,트라이써클
A040420,정상제이엘에스
A215200,메가스터디교육
A095720,웅진씽크빅 보통주
A019680,대교보통주
A094280,효성아이티엑스 보통주
A130580,나이스디앤비
A063570,한국전자금융
A036120,에스씨아이평가정보
A049720,고려신용정보
A015540,메디플란트보통주
A034950,한국기업평가
A050540,한국코퍼레이션
A012750,에스원보통주
A039130,하나투어보통주
A047600,세계투어
A094850,참좋은여행
A039310,세중
A080160,모두투어네트워크
A032350,롯데관광개발 보통주
A038390,레드캡투어
A038870,에코바이오홀딩스
A144510,녹십자랩셀
A119830,아이텍반도체
A045970,코아시아홀딩스
A200470,하이셈
A038290,마크로젠
A041030,이루넷
A131970,테스나
A039830,오로라월드
A020710,시공테크
A030030,중앙디자인
A072990,에이치시티
A046120,오르비텍
A187220,디티앤씨
A180400,캔서롭
A045100,한양이엔지
A037440,희림종합건축사사무소
A037350,성도이엔지
A022100,포스코아이씨티
A002150,도화엔지니어링보통주
A028050,삼성엔지니어링보통주
A052690,한국전력기술 보통주
A053690,한미글로벌건축사사무소보통주
A130660,한전산업개발보통주
A054930,유신
A067630,에이치엘비생명과학
A023350,한국종합기술보통주
A066060,휴먼텍코리아
A054800,아이디스홀딩스
A000150,두산보통주
A034310,NICE보통주
A035610,솔본
A016710,대성홀딩스보통주
A002620,제일파마홀딩스보통주
A002030,아세아보통주
A049690,포휴먼
A009280,다함이텍보통주
A035000,지투알보통주
A000180,성창기업지주보통주
A005250,녹십자홀딩스보통주
A102260,동성코퍼레이션보통주
A000700,유수홀딩스보통주
A214320,이노션보통주
A030000,제일기획보통주
A089600,나스미디어
A230360,에코마케팅
A123570,이엠넷
A216050,인크로스
A043710,서울리거
A010470,오리콤
A084990,바이로메드
A206650,유바이오로직스
A140410,메지온
A142760,바이오리더스
A115180,큐리언트
A083790,크리스탈지노믹스
A095700,제넥신
A196170,알테오젠
A109820,진매트릭스
A215380,우정바이오
A084650,랩지노믹스
A217600,켐온
A185490,아이진
A047920,씨트리
A141080,레고켐바이오사이언스
A168330,내츄럴엔도텍
A215600,신라젠
A127120,디엔에이링크
A204840,지엘팜텍
A086040,바이오톡스텍
A034810,해성산업
A210980,SK디앤디보통주
A015020,이스타코보통주
A034600,글로웍스
A001000,신라섬유
A030610,교보증권보통주
A003530,한화투자증권보통주
A001720,신영증권보통주
A078020,이베스트투자증권
A204760,현대에이블스팩1호
A006800,미래에셋대우
A016610,DB금융투자보통주
A008560,메리츠종합금융증권보통주
